Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://webphysics.ucsb.edu/~Women/images/ucsb-big.jpg
UCLA,"Another great California University, where my dad and brother both went.",34.0689,118.4452,"
https://www.ucla.edu",https://s3.amazonaws.com/cms.ipressroom.com/173/files/20193/5cafc8ef2cfac23fe505eee5_Royce_005/Royce_005_28ae8d58-ab64-4b7e-87ef-ec1b46bf99cf-prv.jpg
Manhattan Beach,A beautiful beach town in southern California.,33.8847,118.4109,https://www.manhattanbeach.gov/,https://upload.wikimedia.org/wikipedia/commons/a/a0/Manhattan_Pier.jpg
Los Altos ,A small town in northern California near San Fransisco where my Grandparents live.,37.3852,122.1141,https://www.losaltosca.gov/,https://upload.wikimedia.org/wikipedia/commons/e/ef/Los_Altos_entrance_sign_2a.jpg
